"gcr1.26","Points:0","Points:1","Points:2"
0.01362,-15.2,13.57,11.567
0.013007,-15.2,12.578,11.567
0.011796,-15.2,11.428,11.567
0.010323,-15.2,10.093,11.567
0.0091204,-15.2,8.9013,11.567
0.0081268,-15.2,7.8373,11.567
0.0073125,-15.2,6.8873,11.567
0.0066345,-15.2,6.039,11.567
0.0060549,-15.2,5.2817,11.567
0.0055442,-15.2,4.6055,11.567
0.0050784,-15.2,4.0017,11.567
0.004639,-15.2,3.4627,11.567
0.0042287,-15.2,2.9814,11.567
0.0038579,-15.2,2.5516,11.567
0.0035255,-15.2,2.168,11.567
0.0032286,-15.2,1.8254,11.567
0.0029606,-15.2,1.5195,11.567
0.0027227,-15.2,1.2464,11.567
0.0025102,-15.2,1.0025,11.567
0.0023194,-15.2,0.78482,11.567
0.002165,-15.2,0.59043,11.567
0.0020516,-15.2,0.41687,11.567
0.0019888,-15.2,0.2619,11.567
0.0020343,-15.2,0.12354,11.567
0.0020944,-15.2,0,11.567
7.3225e-10,-15.2,19.4,11.87
5.9325e-09,-15.2,19.341,11.87
5.1014e-08,-15.2,19.272,11.87
3.0391e-07,-15.2,19.193,11.87
1.4028e-06,-15.2,19.1,11.87
5.3559e-06,-15.2,18.993,11.87
1.7636e-05,-15.2,18.869,11.87
5.1365e-05,-15.2,18.725,11.87
0.00013425,-15.2,18.558,11.87
0.00031752,-15.2,18.364,11.87
0.00068256,-15.2,18.139,11.87
0.0013374,-15.2,17.879,11.87
0.0023935,-15.2,17.576,11.87
0.0039201,-15.2,17.225,11.87
0.0058859,-15.2,16.818,11.87
0.0081185,-15.2,16.346,11.87
0.010315,-15.2,15.798,11.87
0.012117,-15.2,15.162,11.87
0.01322,-15.2,14.425,11.87
0.013473,-15.2,13.57,11.87
0.01291,-15.2,12.578,11.87
0.011719,-15.2,11.428,11.87
0.010236,-15.2,10.093,11.87
0.009008,-15.2,8.9013,11.87
0.0079859,-15.2,7.8373,11.87
0.0071467,-15.2,6.8873,11.87
0.006451,-15.2,6.039,11.87
0.0058622,-15.2,5.2817,11.87
0.0053509,-15.2,4.6055,11.87
0.0048931,-15.2,4.0017,11.87
0.0044695,-15.2,3.4627,11.87
0.0040793,-15.2,2.9814,11.87
0.0037286,-15.2,2.5516,11.87
0.0034133,-15.2,2.168,11.87
0.0031303,-15.2,1.8254,11.87
0.0028739,-15.2,1.5195,11.87
0.0026449,-15.2,1.2464,11.87
0.0024403,-15.2,1.0025,11.87
0.0022569,-15.2,0.78482,11.87
0.0021074,-15.2,0.59043,11.87
0.0019964,-15.2,0.41687,11.87
0.0019342,-15.2,0.2619,11.87
0.0019772,-15.2,0.12354,11.87
0.002035,-15.2,0,11.87
5.5477e-10,-15.2,19.4,12.221
4.4661e-09,-15.2,19.341,12.221
3.8582e-08,-15.2,19.272,12.221
2.3365e-07,-15.2,19.193,12.221
1.1042e-06,-15.2,19.1,12.221
4.3274e-06,-15.2,18.993,12.221
1.4619e-05,-15.2,18.869,12.221
4.3605e-05,-15.2,18.725,12.221
0.00011648,-15.2,18.558,12.221
0.00028101,-15.2,18.364,12.221
0.00061527,-15.2,18.139,12.221
0.0012262,-15.2,17.879,12.221
0.0022291,-15.2,17.576,12.221
0.0037022,-15.2,17.225,12.221
0.0056277,-15.2,16.818,12.221
0.0078455,-15.2,16.346,12.221
0.010058,-15.2,15.798,12.221
0.011901,-15.2,15.162,12.221
0.013061,-15.2,14.425,12.221
0.013371,-15.2,13.57,12.221
0.012854,-15.2,12.578,12.221
0.01169,-15.2,11.428,12.221
0.010216,-15.2,10.093,12.221
0.008982,-15.2,8.9013,12.221
0.0079479,-15.2,7.8373,12.221
0.0070954,-15.2,6.8873,12.221
0.0063882,-15.2,6.039,12.221
0.0057914,-15.2,5.2817,12.221
0.0052768,-15.2,4.6055,12.221
0.0048209,-15.2,4.0017,12.221
0.004405,-15.2,3.4627,12.221
0.0040253,-15.2,2.9814,12.221
0.0036845,-15.2,2.5516,12.221
0.0033774,-15.2,2.168,12.221
0.0031001,-15.2,1.8254,12.221
0.0028475,-15.2,1.5195,12.221
0.0026213,-15.2,1.2464,12.221
0.0024193,-15.2,1.0025,12.221
0.0022379,-15.2,0.78482,12.221
0.0020893,-15.2,0.59043,12.221
0.0019782,-15.2,0.41687,12.221
0.0019155,-15.2,0.2619,12.221
0.0019548,-15.2,0.12354,12.221
0.0020098,-15.2,0,12.221
4.5975e-10,-15.2,19.4,12.629
3.6912e-09,-15.2,19.341,12.629
3.1962e-08,-15.2,19.272,12.629
1.9538e-07,-15.2,19.193,12.629
9.3678e-07,-15.2,19.1,12.629
3.7337e-06,-15.2,18.993,12.629
1.2832e-05,-15.2,18.869,12.629
3.8912e-05,-15.2,18.725,12.629
0.00010557,-15.2,18.558,12.629
0.00025837,-15.2,18.364,12.629
0.00057337,-15.2,18.139,12.629
0.0011571,-15.2,17.879,12.629
0.0021277,-15.2,17.576,12.629
0.0035704,-15.2,17.225,12.629
0.0054765,-15.2,16.818,12.629
0.0076937,-15.2,16.346,12.629
0.0099265,-15.2,15.798,12.629
0.011807,-15.2,15.162,12.629
0.013009,-15.2,14.425,12.629
0.013358,-15.2,13.57,12.629
0.01287,-15.2,12.578,12.629
0.011721,-15.2,11.428,12.629
0.010252,-15.2,10.093,12.629
0.0090124,-15.2,8.9013,12.629
0.0079705,-15.2,7.8373,12.629
0.0071097,-15.2,6.8873,12.629
0.0063951,-15.2,6.039,12.629
0.0057929,-15.2,5.2817,12.629
0.0052753,-15.2,4.6055,12.629
0.0048198,-15.2,4.0017,12.629
0.0044081,-15.2,3.4627,12.629
0.0040338,-15.2,2.9814,12.629
0.0036973,-15.2,2.5516,12.629
0.0033932,-15.2,2.168,12.629
0.0031166,-15.2,1.8254,12.629
0.0028631,-15.2,1.5195,12.629
0.0026359,-15.2,1.2464,12.629
0.0024331,-15.2,1.0025,12.629
0.0022503,-15.2,0.78482,12.629
0.0020998,-15.2,0.59043,12.629
0.0019872,-15.2,0.41687,12.629
0.0019233,-15.2,0.2619,12.629
0.0019583,-15.2,0.12354,12.629
0.0020094,-15.2,0,12.629
4.0895e-10,-15.2,19.4,13.102
3.2819e-09,-15.2,19.341,13.102
2.8477e-08,-15.2,19.272,13.102
1.7513e-07,-15.2,19.193,13.102
8.4742e-07,-15.2,19.1,13.102
3.4145e-06,-15.2,18.993,13.102
1.187e-05,-15.2,18.869,13.102
3.6405e-05,-15.2,18.725,13.102
9.9851e-05,-15.2,18.558,13.102
0.00024688,-15.2,18.364,13.102
0.00055307,-15.2,18.139,13.102
0.0011259,-15.2,17.879,13.102
0.0020869,-15.2,17.576,13.102
0.0035265,-15.2,17.225,13.102
0.0054413,-15.2,16.818,13.102
0.0076816,-15.2,16.346,13.102
0.0099493,-15.2,15.798,13.102
0.011869,-15.2,15.162,13.102
0.013105,-15.2,14.425,13.102
0.013477,-15.2,13.57,13.102
0.012995,-15.2,12.578,13.102
0.011841,-15.2,11.428,13.102
0.010361,-15.2,10.093,13.102
0.0091072,-15.2,8.9013,13.102
0.0080526,-15.2,7.8373,13.102
0.007181,-15.2,6.8873,13.102
0.0064578,-15.2,6.039,13.102
0.0058492,-15.2,5.2817,13.102
0.0053276,-15.2,4.6055,13.102
0.0048705,-15.2,4.0017,13.102
0.0044599,-15.2,3.4627,13.102
0.0040871,-15.2,2.9814,13.102
0.0037509,-15.2,2.5516,13.102
0.003446,-15.2,2.168,13.102
0.003167,-15.2,1.8254,13.102
0.0029099,-15.2,1.5195,13.102
0.002679,-15.2,1.2464,13.102
0.002473,-15.2,1.0025,13.102
0.0022861,-15.2,0.78482,13.102
0.0021316,-15.2,0.59043,13.102
0.0020167,-15.2,0.41687,13.102
0.0019511,-15.2,0.2619,13.102
0.0019806,-15.2,0.12354,13.102
0.002027,-15.2,0,13.102
3.863e-10,-15.2,19.4,13.65
3.1014e-09,-15.2,19.341,13.65
2.6968e-08,-15.2,19.272,13.65
1.6656e-07,-15.2,19.193,13.65
8.1083e-07,-15.2,19.1,13.65
3.2903e-06,-15.2,18.993,13.65
1.1525e-05,-15.2,18.869,13.65
3.5617e-05,-15.2,18.725,13.65
9.8419e-05,-15.2,18.558,13.65
0.00024507,-15.2,18.364,13.65
0.00055256,-15.2,18.139,13.65
0.0011315,-15.2,17.879,13.65
0.0021078,-15.2,17.576,13.65
0.0035768,-15.2,17.225,13.65
0.0055369,-15.2,16.818,13.65
0.0078346,-15.2,16.346,13.65
0.010162,-15.2,15.798,13.65
0.012132,-15.2,15.162,13.65
0.0134,-15.2,14.425,13.65
0.013777,-15.2,13.57,13.65
0.013279,-15.2,12.578,13.65
0.012092,-15.2,11.428,13.65
0.010577,-15.2,10.093,13.65
0.0092932,-15.2,8.9013,13.65
0.0082143,-15.2,7.8373,13.65
0.0073239,-15.2,6.8873,13.65
0.0065863,-15.2,6.039,13.65
0.0059668,-15.2,5.2817,13.65
0.0054372,-15.2,4.6055,13.65
0.0049746,-15.2,4.0017,13.65
0.0045611,-15.2,3.4627,13.65
0.0041857,-15.2,2.9814,13.65
0.0038458,-15.2,2.5516,13.65
0.0035365,-15.2,2.168,13.65
0.0032519,-15.2,1.8254,13.65
0.0029892,-15.2,1.5195,13.65
0.0027518,-15.2,1.2464,13.65
0.0025396,-15.2,1.0025,13.65
0.0023471,-15.2,0.78482,13.65
0.0021864,-15.2,0.59043,13.65
0.0020668,-15.2,0.41687,13.65
0.0019988,-15.2,0.2619,13.65
0.002022,-15.2,0.12354,13.65
0.0020628,-15.2,0,13.65
3.8619e-10,-15.2,19.4,14.287
3.1027e-09,-15.2,19.341,14.287
2.7048e-08,-15.2,19.272,14.287
1.6766e-07,-15.2,19.193,14.287
8.1949e-07,-15.2,19.1,14.287
3.3401e-06,-15.2,18.993,14.287
1.1754e-05,-15.2,18.869,14.287
3.6503e-05,-15.2,18.725,14.287
0.00010135,-15.2,18.558,14.287
0.00025354,-15.2,18.364,14.287
0.00057396,-15.2,18.139,14.287
0.0011792,-15.2,17.879,14.287
0.0022024,-15.2,17.576,14.287
0.0037436,-15.2,17.225,14.287
0.0057993,-15.2,16.818,14.287
0.0082045,-15.2,16.346,14.287
0.010633,-15.2,15.798,14.287
0.012676,-15.2,15.162,14.287
0.013976,-15.2,14.425,14.287
0.014342,-15.2,13.57,14.287
0.013798,-15.2,12.578,14.287
0.012543,-15.2,11.428,14.287
0.01096,-15.2,10.093,14.287
0.0096202,-15.2,8.9013,14.287
0.0084986,-15.2,7.8373,14.287
0.0075756,-15.2,6.8873,14.287
0.0068129,-15.2,6.039,14.287
0.006174,-15.2,5.2817,14.287
0.0056292,-15.2,4.6055,14.287
0.0051548,-15.2,4.0017,14.287
0.0047323,-15.2,3.4627,14.287
0.0043486,-15.2,2.9814,14.287
